tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId,puuid,profileIconId,revisionDate,summonerLevel
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,2AQuc10rk58bGdm0LPUF-iSx4QOvLMeZ7i-Tdd79hZVtEyuVTqkPXXtUmg,Dispel haze,770,I,85,53,False,False,True,True,5rnYxJHK2nb24L9OkqhBs6JHYkws5vWG_sZ0YP3BlwiT9nPtR-1EtvjY,yB2NPlmN7YpllTzKRGWVwBQamvgY5cPoyg65erEBbekbQ93nh-RG9XqYPAquF9oLCBPmlNieJ-xK7A,4631,1641992610474,199
CHALLENGER,05fb99f4-e149-3133-a78e-821597582f9d,RANKED_SOLO_5x5,Rengar's Swashbucklers,h49v3uctVNLzQ8BbYce16FqUaUbDBEXGZkITjiNrve8I7k-idWHChU3mAQ,0o0OoO,648,I,78,65,False,False,True,False,SAuxpMTXMaKlWyo8a7aVaPk4OdRgZTxOxCilTfb7_k6pMatWTtOboteY,1YYOhsE6K5xVzyYXOcmdu_uduZLB_oAQ5iO_I0--zYVe8BNg08kYpDAh6mIdjQYxbG3e3VcERrd86A,3495,1641719586000,54
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,f1hjh7JVeC4NbwHmKtTNUbisJdT7YSaGb0U5BmL8nb5rGCjduhX2w4ZmCg,HLE Lure1,261,I,71,65,False,False,True,False,2YzC1QJ0IejDZQFe-R1gm5_DFXtQjZzbVzXR8hbtWSewlsYSaFLnj1kb,jWgLXMRP8wJ1WrvSrHUlMGcAKqR46wx8e_if-Ab8VIlr5IWCmzcrek9Fc1qoAyRFGrPF1C95CbYHjg,5099,1641903400977,160
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,RhTwjtxcrnmq_jOFPzVerqmj896JvbM-6J05IROnxsUg-Aap,LimGeunWoo,220,I,67,59,False,False,True,False,DolNfgeLFA4PIwBgwPhKy5TfF_mJEyL3NMs8p9YjHgZ_AAvxXMLOhPq3,poXuBJQHP31TXvlY9hqmXb6C9NexVgO7JGVNY3ie01lnA4S6RysE3gWA3xO8ZHluOB4dIkmoaqmqCw,20,1642082701394,216
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,xK-dbkplBGEKSKxKUiazO8QHzXBYCYSLg87eqap3dBvWwudyKiCTSe6bLA,CameIo Anthony,237,I,43,34,False,False,True,False,VzolUTamCbDg0J09AE7ZsVBjwwdcCwryJzndxOKp_htrim8nZcO_BUeH,AG3_LZ_vbMT-j4NO9V2tnCVrbm7HuGDupMOllDvveMqg_6mv5IGHXJoB0OWi7UUKXFrehThu1Yth1A,5030,1642164920518,191
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,nWBsw9dc10AhhP1iHZ7Lrco_DsxHfToA59il9PsPOZbeOXh7hAd5F6BEoA,밤하늘의 별을1,289,I,58,43,False,False,True,False,XEkv-N-3VFTJ1xgAjfMvsrrIth7AjBz91Y3uSs1KVfHy3sIa7-3SWIW2,4C1gOJaZOHklcWxHTc5LxXNsq1FmWfvmHbweTGYcCF9kUex_7O1_dF6HJnCH_z5Pyl-4hkqTGcpbew,5092,1642057931000,234
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,TDzVe97Xc0f4CSD_X9LWqWnnEr9oushs61LTxp5qR9BWrx2EVaXyeSwB6A,순뀨박,153,I,72,74,False,False,True,False,4zUdTV5TfAs6eh33F7YE9AfXB7tiZsc6AByUZWMPNMOQbKTHNcKVXXPo,e34EQCn1iJe85Qx2DR_j5CPv9BWD_N3lvIiJq6X2l-Ef9YOwsZUpvfMOESv9kjOg5MRMeo3l51pV9A,5131,1641391958831,102
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,XG7l0nJemhxHr9jZp6vO0h52Ho-KyiAUNN03pFSasRDC--g9Ees9GIJrEg,Epilogue for u,510,I,76,60,False,False,True,False,ZoqcBDKaoprTunrTqy7aSMhiXiB2K86tAx1esRoWaSuVN4onJFQ8zCHq,bTDDeOg2IG0EZE8e_rUEYiUlEHIRfIXVF4NICfXEzuav9OCu9_DNUM-tfH9BI3EXc6rVbGSeu16liA,7,1642247469597,107
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,2ib7BsKIpw9mqsY29oLGoTJUIc6dtEv0zLrpr3JFZ90VyQNlkDl9MJvX4w,lhyz,380,I,76,66,False,False,True,True,OEg8jX3sfRUZlL68iLg0jkhFbdDnTVx57ZidOr57hTSGaARoDz2XDvja,erW35rCLtoPVGzsGcbolM8B5GJeZJMtILnuZIHvJSjlNn-z4Y_lz-N1J0W-tnCzkLTfSghwVQzkalA,5212,1639820593000,92
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,l5PDkRm3WYeSX0ft0skD-iBiByeoBhAlhht-GgsY4P_r5Co,kfo,156,I,78,82,False,False,True,False,4r-Sfxi5tVSc_k98jmmIyvHp1LviNkrVBsZOEcfwpATeh4Y,GiSO_ABpEYZeV72ci9UZRfy_MpAXUqJM3DmFxOsdVtwKjph5w6Rtxbup7aasXf4hhP82uTvRZneUMg,5185,1638030373531,650
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,M-O3Z8Ux0bOz2_7X9xyyrhxLdRB5qJ1NRSVCt00S1aw7Tw,hopeisdangerous,351,I,84,62,False,False,True,True,4yZLXdrhJVKDv6J5qPf0cRMJuVW0tN4gYjo32SN8Ey3Z,dMPt1S1U3jvIN2wC-CDssy6cGvLZiXctWdJwl6Lcu58hfmu5XAbk3T5JCsMumeYx5fnPg8Ao-Pr29g,4896,1641364701000,117
