id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
nWBsw9dc10AhhP1iHZ7Lrco_DsxHfToA59il9PsPOZbeOXh7hAd5F6BEoA,XEkv-N-3VFTJ1xgAjfMvsrrIth7AjBz91Y3uSs1KVfHy3sIa7-3SWIW2,4C1gOJaZOHklcWxHTc5LxXNsq1FmWfvmHbweTGYcCF9kUex_7O1_dF6HJnCH_z5Pyl-4hkqTGcpbew,밤하늘의 별을1,5092,1642057931000,234
TDzVe97Xc0f4CSD_X9LWqWnnEr9oushs61LTxp5qR9BWrx2EVaXyeSwB6A,4zUdTV5TfAs6eh33F7YE9AfXB7tiZsc6AByUZWMPNMOQbKTHNcKVXXPo,e34EQCn1iJe85Qx2DR_j5CPv9BWD_N3lvIiJq6X2l-Ef9YOwsZUpvfMOESv9kjOg5MRMeo3l51pV9A,순뀨박,5131,1641391958831,102
XG7l0nJemhxHr9jZp6vO0h52Ho-KyiAUNN03pFSasRDC--g9Ees9GIJrEg,ZoqcBDKaoprTunrTqy7aSMhiXiB2K86tAx1esRoWaSuVN4onJFQ8zCHq,bTDDeOg2IG0EZE8e_rUEYiUlEHIRfIXVF4NICfXEzuav9OCu9_DNUM-tfH9BI3EXc6rVbGSeu16liA,Epilogue for u,7,1642247469597,107
2ib7BsKIpw9mqsY29oLGoTJUIc6dtEv0zLrpr3JFZ90VyQNlkDl9MJvX4w,OEg8jX3sfRUZlL68iLg0jkhFbdDnTVx57ZidOr57hTSGaARoDz2XDvja,erW35rCLtoPVGzsGcbolM8B5GJeZJMtILnuZIHvJSjlNn-z4Y_lz-N1J0W-tnCzkLTfSghwVQzkalA,lhyz,5212,1639820593000,92
l5PDkRm3WYeSX0ft0skD-iBiByeoBhAlhht-GgsY4P_r5Co,4r-Sfxi5tVSc_k98jmmIyvHp1LviNkrVBsZOEcfwpATeh4Y,GiSO_ABpEYZeV72ci9UZRfy_MpAXUqJM3DmFxOsdVtwKjph5w6Rtxbup7aasXf4hhP82uTvRZneUMg,kfo,5185,1638030373531,650
M-O3Z8Ux0bOz2_7X9xyyrhxLdRB5qJ1NRSVCt00S1aw7Tw,4yZLXdrhJVKDv6J5qPf0cRMJuVW0tN4gYjo32SN8Ey3Z,dMPt1S1U3jvIN2wC-CDssy6cGvLZiXctWdJwl6Lcu58hfmu5XAbk3T5JCsMumeYx5fnPg8Ao-Pr29g,hopeisdangerous,4896,1641364701000,117
PUHWxuf40RdZ94QopA0yUrb4HEQkth5WF6hxf1VFmu4ROeyNiS-_qlDyHQ,ltZ-YWAQn-L0OLf5bgavoFY3x4fMfKzhLiXC3RCKYVqNaLpNCCyyVskr,iXKcFFLnbGhyOzG9JniytSAfX8u43VsyotpOPOD4nN6iH07-FH4Vk_pQcQ4n9r9yfZNRK8az_qJClw,2654327940720064,29,1642108645000,148
Ze8WyCpq4PCc1hsw8Dpws3lSVmIn7WqGkir5iFAm0v8TuaZU,K9sUgiE4JVYfPUaBRTRPPimgm1BFDPLxxeGrDPxmSQamFbhmJNXiuC7B,tba9fzw2UIpj1uaTR9dtO10miRKfunIG0b9noIZ6V7KzM1bOPwjjDMX2iRs0LNhqKFeK8rkeTu2YxA,패배룰까먹은사람,3371,1641960361000,69
f3uWCmoKFS2mVtgLulZL89BlMhbb8-5_A-eDXT6KKnpuyQ,gZKiOMcx5EpownG28bjk44e94UPz0fhp-_UHSMzbCM0v,RQv5awF8Lrmq87uttFXiy4kuI86V5DGhFR5anSebgprc3m-2WMC4V_rmPsy6PKuqWZtw-HBYuphuWg,Nierland,4779,1642155883850,316
2YG72AZ1_gfJwcyhp8lEdaRRPfmnC3JzidqQFypdnvaVRtkbvh2JFoosWg,QhRN9d4megX4QiRXP9cP_QQy8FpqRY2M-EL5BF97xzBGFFSKqQSydCyQ,rKTVP52SDDzoLvNUm1qF247qg_V49vKoMPGJSsKXSaL-hRItnurCaKidEYMVsI7PHQKrgKg2V_MBwQ,Ke xi mei ru guo,5182,1640994522000,158
9bm_MiGkr3XR5O4Nm21WCMYEXynFmPFZnoC0wDkLtUt2Hirx,_9f_3oW4lpdGM2lZy9_WtZvadnQI4JkAbOMBgnqIUeBMLRt-AiW1ciek,J3W1HXphg5eAe05-VbNGW2MKhAfD78CT9KITk8Ax1hJrqSDRDvF4mwHxvAbNn_WCVv_MVgZ1qr-hwg,j3el4njo,5117,1642151526072,132
D_4BOU4E-vGsnTZiexq0QsJNHGLRpnOO5Lf4AUnxb7MQh6E,ffWd53zS_p29jUghswQG4K6lx2Wx3FaHyTAK8G5ni7vGVzo,DlnCVvtW4h7M5WAELsb8is5OJFvzEh5SILtd4MnZc4APaO185SnPfJEpHSG9dXY1MWQ9tABSmC_JhQ,쇼쵸표여,7,1640739599000,239
