tier,leagueId,queue,name,summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Ze8WyCpq4PCc1hsw8Dpws3lSVmIn7WqGkir5iFAm0v8TuaZU,패배룰까먹은사람,356,I,69,62,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,f3uWCmoKFS2mVtgLulZL89BlMhbb8-5_A-eDXT6KKnpuyQ,Nierland,419,I,41,16,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,2YG72AZ1_gfJwcyhp8lEdaRRPfmnC3JzidqQFypdnvaVRtkbvh2JFoosWg,Ke xi mei ru guo,276,I,72,62,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,9bm_MiGkr3XR5O4Nm21WCMYEXynFmPFZnoC0wDkLtUt2Hirx,j3el4njo,284,I,52,31,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,D_4BOU4E-vGsnTZiexq0QsJNHGLRpnOO5Lf4AUnxb7MQh6E,쇼쵸표여,145,I,90,70,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,bmhu5-4ietCPOenUuOBDjGIvNIDYN0jFWIEvX_mYhz9XrR4,FA Jini,271,I,74,71,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,hBI_iJICjt15WPj3Hd8dBZdjTxW-0zlzRtQ8A-eQnBg7MB8,whtwht,287,I,66,44,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,yIaBc0WPHgymEfhEyysUdQ8oHTcus2VQDUo2JeidkRrpaw,잘하자 이현2022,311,I,59,39,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,UyC05wGmfUi5BrHzOc7BbJInlFgIH-_-0KPqgjml0wKY6TE,Uneasy12,250,I,58,49,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,3oGXI8JfHpfJaELaR_ors6_dKjmSlnYe8n_oGV0aAKdHt6A,Yaoyao1013,207,I,48,38,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,HlwM4dWmOCA-BAuyMAnoZ7jeVD7CxiHHkfSlhdFPLyMZF3U,하루종일 졸리다,208,I,56,38,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,Iccp27eGEjKcBgDVSfuZsFEtkrZVPRKxU6s-NRkJ2qkSVOhnEuxsJE96dg,LinaBell,417,I,50,36,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,vXYAv8XNeprU9KkVICCegmhrSiWGr4WOs-svVX0-gaqWXNE,강아지 FA,347,I,49,30,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,kwW6WCFlmXZxMkNAE1VQGh5T1Wv-RHXtUHj3gA9-cFrmQbcAF74LqfMZHw,qweioqwer,245,I,49,45,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,2Wty_sSeCoCAFyGRFfQl4SrI1AAdhFJcVoJmQH0P8nZndxo,왁컬로이두,262,I,31,17,False,False,True,False
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,7X6HYzXh6shH-kMIOMhctPkqKxpwDJWrZrexb8XzuRaFfCs,Death fr0m BeIow,214,I,63,53,False,False,True,True
GRANDMASTER,fb70e956-13b0-39b2-a1c7-ddf8ae843fcd,RANKED_SOLO_5x5,Corki's Scouts,12axPragIGvp4yzIChddZkkLii5kF_cSgx_fSMXIsoZPHJ3HvzpvBK1XwQ,2019BLGJAlielie,280,I,97,84,False,False,True,False
